locus_tag	ftype	length_bp	gene	EC_number	COG	product
IDDCBLLE_02071	CDS	750	etfB			Electron transfer flavoprotein subunit beta
IDDCBLLE_02072	CDS	516				hypothetical protein
IDDCBLLE_02073	CDS	384				hypothetical protein
IDDCBLLE_02074	CDS	1326	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
IDDCBLLE_02075	CDS	912	gsiD		COG1173	Glutathione transport system permease protein GsiD
IDDCBLLE_02076	CDS	921	gsiC		COG0601	Glutathione transport system permease protein GsiC
IDDCBLLE_02077	CDS	1539	gsiB		COG0747	Glutathione-binding protein GsiB
IDDCBLLE_02078	CDS	1872	gsiA	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
IDDCBLLE_02079	CDS	942	iaaA	3.4.19.5	COG1446	Isoaspartyl peptidase
IDDCBLLE_02080	CDS	1236	moeA	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
IDDCBLLE_02081	CDS	750	moeB	2.7.7.80	COG0476	Molybdopterin-synthase adenylyltransferase
IDDCBLLE_02082	CDS	900	cutD	1.97.1.-	COG1180	Choline trimethylamine-lyase activating enzyme
IDDCBLLE_02083	CDS	2433	pflD	4.2.1.172	COG1882	Trans-4-hydroxy-L-proline dehydratase
IDDCBLLE_02084	CDS	810	ybiV_1	3.1.3.23	COG0561	Sugar phosphatase YbiV
IDDCBLLE_02085	CDS	1266	ybiU			putative protein YbiU
IDDCBLLE_02086	CDS	441	ybiV_2	3.1.3.23	COG0561	Sugar phosphatase YbiV
IDDCBLLE_02087	CDS	171				hypothetical protein
IDDCBLLE_02088	CDS	480				hypothetical protein
IDDCBLLE_02089	CDS	1593	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
IDDCBLLE_02090	CDS	921	ybiS	2.-.-.-	COG1376	putative L,D-transpeptidase YbiS
IDDCBLLE_02091	CDS	1113	ybiR		COG0471	Inner membrane protein YbiR
IDDCBLLE_02092	CDS	474	mntR		COG1321	Transcriptional regulator MntR
IDDCBLLE_02093	CDS	129	mntS			Small protein MntS
IDDCBLLE_02094	CDS	1581	opgE	2.7.-.-	COG2194	Phosphoethanolamine transferase OpgE
IDDCBLLE_02095	CDS	516	ompX		COG3637	Outer membrane protein X
IDDCBLLE_02096	CDS	861	rhtA		COG5006	Threonine/homoserine exporter RhtA
IDDCBLLE_02097	CDS	504	dps	1.16.-.-	COG0783	DNA protection during starvation protein
IDDCBLLE_02098	CDS	747	glnH		COG0834	Glutamine-binding periplasmic protein
IDDCBLLE_02099	CDS	660	glnP		COG0765	Glutamine transport system permease protein GlnP
IDDCBLLE_02100	CDS	723	glnQ_2		COG1126	Glutamine transport ATP-binding protein GlnQ
IDDCBLLE_02101	CDS	2223	ybiO		COG0668	Moderate conductance mechanosensitive channel YbiO
IDDCBLLE_02102	CDS	927	rlmF	2.1.1.181	COG3129	Ribosomal RNA large subunit methyltransferase F
IDDCBLLE_02103	CDS	267	ybiI_1		COG1734	putative protein YbiI
IDDCBLLE_02104	CDS	261	mcbA			putative protein McbA
IDDCBLLE_02105	CDS	975	ybiB		COG0547	putative protein YbiB
IDDCBLLE_02106	CDS	2145	dinG	3.6.4.12	COG1199	ATP-dependent DNA helicase DinG
IDDCBLLE_02107	CDS	1362	rhlE	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
IDDCBLLE_02108	CDS	675	cecR		COG1309	HTH-type transcriptional dual regulator CecR
IDDCBLLE_02109	CDS	996				hypothetical protein
IDDCBLLE_02110	CDS	1737	ybhF		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
IDDCBLLE_02111	CDS	1131	ybhS		COG0842	putative multidrug ABC transporter permease YbhS
IDDCBLLE_02112	CDS	1107	ybhR		COG0842	putative multidrug ABC transporter permease YbhR
IDDCBLLE_02113	CDS	411	ybhQ			Inner membrane protein YbhQ
IDDCBLLE_02114	CDS	759				hypothetical protein
IDDCBLLE_02115	CDS	1242	clsB	2.7.8.-	COG1502	Cardiolipin synthase B
IDDCBLLE_02116	CDS	963	ybhN		COG0392	Inner membrane protein YbhN
IDDCBLLE_02117	CDS	393				hypothetical protein
IDDCBLLE_02118	CDS	171				hypothetical protein
IDDCBLLE_02119	CDS	603				hypothetical protein
IDDCBLLE_02120	CDS	522	ybhL_1		COG0670	Inner membrane protein YbhL
IDDCBLLE_02121	CDS	705	ybhL_2		COG0670	Inner membrane protein YbhL
IDDCBLLE_02122	CDS	453	moaE	2.8.1.12	COG0314	Molybdopterin synthase catalytic subunit
IDDCBLLE_02123	CDS	246	moaD		COG1977	Molybdopterin synthase sulfur carrier subunit
IDDCBLLE_02124	CDS	444	moaC	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
IDDCBLLE_02125	CDS	513	moaB		COG0521	Molybdenum cofactor biosynthesis protein B
IDDCBLLE_02126	CDS	1023	moaA	4.1.99.22	COG2896	GTP 3',8-cyclase
IDDCBLLE_02127	CDS	909	ybhK		COG0391	Putative gluconeogenesis factor
IDDCBLLE_02128	CDS	702	slrP_1	2.3.2.27		E3 ubiquitin-protein ligase SlrP
IDDCBLLE_02129	CDS	1563	slrP_2	2.3.2.27	COG4886	E3 ubiquitin-protein ligase SlrP
IDDCBLLE_02130	CDS	2022	uvrB		COG0556	UvrABC system protein B
IDDCBLLE_02131	CDS	687	bioD1_2	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
IDDCBLLE_02132	CDS	756	bioC	2.1.1.197	COG0500	Malonyl-[acyl-carrier protein] O-methyltransferase
IDDCBLLE_02133	CDS	1158	bioF	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase
IDDCBLLE_02134	CDS	1041	bioB	2.8.1.6	COG0502	Biotin synthase
IDDCBLLE_02135	CDS	1299	bioA	2.6.1.62	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
IDDCBLLE_02136	CDS	477				hypothetical protein
IDDCBLLE_02137	CDS	1521	hutH	4.3.1.3	COG2986	Histidine ammonia-lyase
IDDCBLLE_02138	CDS	1686	hutU	4.2.1.49	COG2987	Urocanate hydratase
IDDCBLLE_02139	CDS	726	nagR_2		COG2188	HTH-type transcriptional repressor NagR
IDDCBLLE_02140	CDS	942	hutG	3.5.3.8	COG0010	Formimidoylglutamase
IDDCBLLE_02141	CDS	1170	hutI	3.5.2.7	COG1228	Imidazolonepropionase
IDDCBLLE_02142	CDS	1284	ybhC	3.1.2.-	COG4677	Putative acyl-CoA thioester hydrolase YbhC
IDDCBLLE_02143	CDS	996	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
IDDCBLLE_02144	CDS	819	ybhA_1	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YbhA
IDDCBLLE_02145	CDS	1059	btuD_4	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IDDCBLLE_02146	CDS	690	modB		COG4149	Molybdenum transport system permease protein ModB
IDDCBLLE_02147	CDS	774	modA		COG0725	Molybdate-binding protein ModA
IDDCBLLE_02148	CDS	150	acrZ			Multidrug efflux pump accessory protein AcrZ
IDDCBLLE_02149	CDS	789	modE		COG2005	DNA-binding transcriptional dual regulator ModE
IDDCBLLE_02150	CDS	1476	modF		COG1119	ABC transporter ATP-binding protein ModF
IDDCBLLE_02151	CDS	909				hypothetical protein
IDDCBLLE_02152	CDS	1017	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
IDDCBLLE_02153	CDS	1047	galT	2.7.7.12	COG1085	Galactose-1-phosphate uridylyltransferase
IDDCBLLE_02154	CDS	1149	galK	2.7.1.6	COG0153	Galactokinase
IDDCBLLE_02155	CDS	1041	galM	5.1.3.3	COG2017	Aldose 1-epimerase
IDDCBLLE_02156	CDS	753	gpmA	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
IDDCBLLE_02157	CDS	777	yusV		COG1120	putative siderophore transport system ATP-binding protein YusV
IDDCBLLE_02158	CDS	1080	hmuU		COG0609	Hemin transport system permease protein HmuU
IDDCBLLE_02159	CDS	699	citG_2	2.4.2.52		2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
IDDCBLLE_02160	CDS	567	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
IDDCBLLE_02161	CDS	1032	metN_2	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
IDDCBLLE_02162	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
IDDCBLLE_02163	CDS	816	metQ_2		COG1464	D-methionine-binding lipoprotein MetQ
IDDCBLLE_02164	CDS	405	rcsF			Outer membrane lipoprotein RcsF
IDDCBLLE_02165	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
IDDCBLLE_02166	CDS	1719	proS	6.1.1.15	COG0442	Proline--tRNA ligase
IDDCBLLE_02167	CDS	702	nlpE		COG3015	Lipoprotein NlpE
IDDCBLLE_02168	CDS	423	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
IDDCBLLE_02169	CDS	546	yaeQ		COG4681	putative protein YaeQ
IDDCBLLE_02170	CDS	201				hypothetical protein
IDDCBLLE_02171	CDS	261	rof		COG4568	Protein rof
IDDCBLLE_02172	CDS	1293	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
IDDCBLLE_02173	CDS	390				hypothetical protein
IDDCBLLE_02174	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
IDDCBLLE_02175	CDS	1764				hypothetical protein
IDDCBLLE_02176	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
IDDCBLLE_02177	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
IDDCBLLE_02178	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
IDDCBLLE_02179	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
IDDCBLLE_02180	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
IDDCBLLE_02181	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
IDDCBLLE_02182	CDS	1026	lpxD	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
IDDCBLLE_02183	CDS	486	skp		COG2825	Chaperone protein Skp
IDDCBLLE_02184	CDS	2415	bamA		COG4775	Outer membrane protein assembly factor BamA
IDDCBLLE_02185	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
IDDCBLLE_02186	CDS	858	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
IDDCBLLE_02187	CDS	690	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
IDDCBLLE_02188	CDS	1197	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
IDDCBLLE_02189	CDS	558	frr		COG0233	Ribosome-recycling factor
IDDCBLLE_02190	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
IDDCBLLE_02191	CDS	924	tsf		COG0264	Elongation factor Ts
IDDCBLLE_02192	CDS	726	rpsB		COG0052	30S ribosomal protein S2
IDDCBLLE_02193	CDS	795	map	3.4.11.18	COG0024	Methionine aminopeptidase
IDDCBLLE_02194	CDS	2673	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
IDDCBLLE_02195	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
IDDCBLLE_02196	CDS	450				hypothetical protein
IDDCBLLE_02197	CDS	804	abaF			Fosfomycin resistance protein AbaF
IDDCBLLE_02198	CDS	387				hypothetical protein
IDDCBLLE_02199	CDS	3033				hypothetical protein
IDDCBLLE_02200	CDS	447	cdaR_1		COG3835	Carbohydrate diacid regulator
IDDCBLLE_02201	CDS	687	cdaR_2		COG3835	Carbohydrate diacid regulator
IDDCBLLE_02202	CDS	1428	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
IDDCBLLE_02203	CDS	1518	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
IDDCBLLE_02204	CDS	699	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
IDDCBLLE_02205	CDS	801	btuF		COG0614	Vitamin B12-binding protein
IDDCBLLE_02206	CDS	624				hypothetical protein
IDDCBLLE_02207	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
IDDCBLLE_02208	CDS	1422	clcA		COG0038	H(+)/Cl(-) exchange transporter ClcA
IDDCBLLE_02209	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
IDDCBLLE_02210	CDS	843	yfcO			putative protein YfcO
IDDCBLLE_02211	CDS	531	yfcP_1			putative fimbrial-like protein YfcP
IDDCBLLE_02212	CDS	477	yfcQ_1			putative fimbrial-like protein YfcQ
IDDCBLLE_02213	CDS	513	yfcR_1			putative fimbrial-like protein YfcR
IDDCBLLE_02214	CDS	753	yfcS_1		COG3121	putative fimbrial chaperone YfcS
IDDCBLLE_02215	CDS	2658	papC_2		COG3188	Outer membrane usher protein PapC
IDDCBLLE_02216	CDS	561	smfA			Fimbria A protein
IDDCBLLE_02217	CDS	207				hypothetical protein
IDDCBLLE_02218	CDS	2058	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
IDDCBLLE_02219	CDS	891	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
IDDCBLLE_02220	CDS	798	fhuC	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
IDDCBLLE_02221	CDS	2190	fhuA_2		COG1629	Ferrichrome outer membrane transporter/phage receptor
IDDCBLLE_02222	CDS	2523	mrcB		COG0744	Penicillin-binding protein 1B
IDDCBLLE_02223	CDS	2475	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
IDDCBLLE_02224	CDS	531	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
IDDCBLLE_02225	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
IDDCBLLE_02226	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
IDDCBLLE_02227	CDS	942	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
IDDCBLLE_02228	CDS	1419	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
IDDCBLLE_02229	CDS	480	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
IDDCBLLE_02230	CDS	792	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
IDDCBLLE_02231	CDS	855	panC	6.3.2.1	COG0414	Pantothenate synthetase
IDDCBLLE_02232	CDS	381	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
IDDCBLLE_02233	CDS	1230				hypothetical protein
IDDCBLLE_02234	CDS	441				hypothetical protein
IDDCBLLE_02235	CDS	540	fimA_3			Type-1 fimbrial protein, A chain
IDDCBLLE_02236	CDS	684	fimC			Chaperone protein FimC
IDDCBLLE_02237	CDS	2559	fimD_2		COG3188	Outer membrane usher protein FimD
IDDCBLLE_02238	CDS	1080	lpfD_2			putative minor fimbrial subunit LpfD
IDDCBLLE_02239	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
IDDCBLLE_02240	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
IDDCBLLE_02241	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
IDDCBLLE_02242	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
IDDCBLLE_02243	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
IDDCBLLE_02244	CDS	1611	cueO		COG2132	Blue copper oxidase CueO
IDDCBLLE_02245	CDS	387				hypothetical protein
IDDCBLLE_02246	CDS	861	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
IDDCBLLE_02247	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
IDDCBLLE_02248	CDS	768	glcR_1		COG1349	HTH-type transcriptional repressor GlcR
IDDCBLLE_02249	CDS	984	pdxA2	1.1.1.408	COG1995	D-threonate 4-phosphate dehydrogenase
IDDCBLLE_02250	CDS	1272	dtnK	2.7.1.219	COG3395	D-threonate kinase
IDDCBLLE_02251	CDS	954	kdgT_1			2-keto-3-deoxygluconate permease
IDDCBLLE_02252	CDS	363				hypothetical protein
IDDCBLLE_02253	CDS	324				hypothetical protein
IDDCBLLE_02254	CDS	465				hypothetical protein
IDDCBLLE_02255	CDS	2598	acnB	4.2.1.3	COG1049	Aconitate hydratase B
IDDCBLLE_02256	CDS	1626				hypothetical protein
IDDCBLLE_02257	CDS	792				hypothetical protein
IDDCBLLE_02258	CDS	285				hypothetical protein
IDDCBLLE_02259	CDS	1425	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
IDDCBLLE_02260	CDS	1890	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
IDDCBLLE_02261	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
IDDCBLLE_02262	CDS	765	pdhR_3		COG2186	Pyruvate dehydrogenase complex repressor
IDDCBLLE_02263	CDS	1371	aroP		COG1113	Aromatic amino acid transport protein AroP
IDDCBLLE_02264	CDS	1407	yicJ_3		COG2211	Inner membrane symporter YicJ
IDDCBLLE_02265	CDS	951		3.2.1.55	COG3940	Extracellular exo-alpha-(1->5)-L-arabinofuranosidase
IDDCBLLE_02266	CDS	855	ampE		COG3725	Protein AmpE
IDDCBLLE_02267	CDS	564	ampD	3.5.1.28		1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
IDDCBLLE_02268	CDS	894	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
IDDCBLLE_02269	CDS	438				hypothetical protein
IDDCBLLE_02270	CDS	1386	epsE		COG2804	Type II secretion system protein E
IDDCBLLE_02271	CDS	1203	epsF		COG1459	Type II secretion system protein F
IDDCBLLE_02272	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
IDDCBLLE_02273	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
IDDCBLLE_02274	CDS	744	zapD		COG4582	Cell division protein ZapD
IDDCBLLE_02275	CDS	192	yacG		COG3024	DNA gyrase inhibitor YacG
IDDCBLLE_02276	CDS	924	pgrR_2			HTH-type transcriptional regulator PgrR
IDDCBLLE_02277	CDS	990	iolS	1.1.1.-	COG0667	Aldo-keto reductase IolS
IDDCBLLE_02278	CDS	396	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
IDDCBLLE_02279	CDS	2706	secA		COG0653	Protein translocase subunit SecA
IDDCBLLE_02280	CDS	498	secM			Secretion monitor
IDDCBLLE_02281	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
IDDCBLLE_02282	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
IDDCBLLE_02283	CDS	1263	ftsA_1		COG0849	Cell division protein FtsA
IDDCBLLE_02284	CDS	831	ftsQ		COG1589	Cell division protein FtsQ
IDDCBLLE_02285	CDS	858	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
IDDCBLLE_02286	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
IDDCBLLE_02287	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
IDDCBLLE_02288	CDS	1245	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
IDDCBLLE_02289	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
IDDCBLLE_02290	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
IDDCBLLE_02291	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
IDDCBLLE_02292	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
IDDCBLLE_02293	CDS	1767	ftsI_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
IDDCBLLE_02294	CDS	366	ftsL		COG3116	Cell division protein FtsL
IDDCBLLE_02295	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
IDDCBLLE_02296	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
IDDCBLLE_02297	CDS	1005	cra		COG1609	Catabolite repressor/activator
IDDCBLLE_02298	CDS	495	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
IDDCBLLE_02299	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
IDDCBLLE_02300	CDS	945	leuO_1			HTH-type transcriptional regulator LeuO
IDDCBLLE_02301	CDS	1572	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
IDDCBLLE_02302	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
IDDCBLLE_02303	CDS	1401	leuC1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit 1
IDDCBLLE_02304	CDS	606	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
IDDCBLLE_02305	CDS	282				hypothetical protein
IDDCBLLE_02306	CDS	123	sgrT			Putative inhibitor of glucose uptake transporter SgrT
IDDCBLLE_02307	CDS	1659	sgrR_3		COG4533	HTH-type transcriptional regulator SgrR
IDDCBLLE_02308	CDS	984	thiB		COG4143	Thiamine-binding periplasmic protein
IDDCBLLE_02309	CDS	1611				hypothetical protein
IDDCBLLE_02310	CDS	708	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
IDDCBLLE_02311	CDS	768	yabI		COG0586	Inner membrane protein YabI
IDDCBLLE_02312	CDS	846	araC			Arabinose operon regulatory protein
IDDCBLLE_02313	CDS	1230	araB_1	2.7.1.16	COG1069	Ribulokinase
IDDCBLLE_02314	CDS	534	araB_2	2.7.1.16	COG1069	Ribulokinase
IDDCBLLE_02315	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
IDDCBLLE_02316	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
IDDCBLLE_02317	CDS	180				hypothetical protein
IDDCBLLE_02318	CDS	246				hypothetical protein
IDDCBLLE_02319	CDS	621				hypothetical protein
IDDCBLLE_02320	CDS	2352	polB	2.7.7.7	COG0417	DNA polymerase II
IDDCBLLE_02321	CDS	2907	rapA	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
IDDCBLLE_02322	CDS	660	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
IDDCBLLE_02323	CDS	813	djlA		COG1076	Co-chaperone protein DjlA
IDDCBLLE_02324	CDS	2361	lptD		COG1452	LPS-assembly protein LptD
IDDCBLLE_02325	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
IDDCBLLE_02326	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
IDDCBLLE_02327	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
IDDCBLLE_02328	CDS	378	apaG		COG2967	Protein ApaG
IDDCBLLE_02329	CDS	849	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
IDDCBLLE_02330	CDS	480				IS1595 family transposase ISSsu9
IDDCBLLE_02331	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
IDDCBLLE_02332	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
IDDCBLLE_02333	CDS	231	ygdR_3			putative lipoprotein YgdR
IDDCBLLE_02334	CDS	1341	ygcS			Inner membrane metabolite transport protein YgcS
IDDCBLLE_02335	CDS	288	fixX_2		COG2440	Ferredoxin-like protein FixX
IDDCBLLE_02336	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
IDDCBLLE_02337	CDS	942	fixB_2		COG2025	Protein FixB
IDDCBLLE_02338	CDS	771	fixA_2		COG2086	Protein FixA
IDDCBLLE_02339	CDS	1518	caiT		COG1292	L-carnitine/gamma-butyrobetaine antiporter
IDDCBLLE_02340	CDS	1143	caiA_2	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
IDDCBLLE_02341	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
IDDCBLLE_02342	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
IDDCBLLE_02343	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
IDDCBLLE_02344	CDS	597	caiE			Carnitine operon protein CaiE
IDDCBLLE_02345	CDS	396				hypothetical protein
IDDCBLLE_02346	CDS	3228	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
IDDCBLLE_02347	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
IDDCBLLE_02348	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
IDDCBLLE_02349	CDS	909	citG_3	2.4.2.52	COG1767	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
IDDCBLLE_02350	CDS	552	citX_1	2.7.7.61	COG3697	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
IDDCBLLE_02351	CDS	1521	citF_1	4.1.3.6	COG3051	Citrate lyase alpha chain
IDDCBLLE_02352	CDS	870	citE_1	4.1.3.6	COG2301	Citrate lyase subunit beta
IDDCBLLE_02353	CDS	294	citD_1		COG3052	Citrate lyase acyl carrier protein
IDDCBLLE_02354	CDS	969	citC_1	6.2.1.22	COG3053	[Citrate [pro-3S]-lyase] ligase
IDDCBLLE_02355	CDS	1341	citS		COG3493	Citrate-sodium symporter
IDDCBLLE_02356	CDS	240	oadG	7.2.4.2	COG3630	Oxaloacetate decarboxylase gamma chain
IDDCBLLE_02357	CDS	525				hypothetical protein
IDDCBLLE_02358	CDS	237				hypothetical protein
IDDCBLLE_02359	CDS	1065				hypothetical protein
IDDCBLLE_02360	CDS	789	fhuF		COG4114	Ferric iron reductase protein FhuF
IDDCBLLE_02361	CDS	459				hypothetical protein
IDDCBLLE_02362	CDS	675	bglJ		COG2197	Transcriptional activator protein BglJ
IDDCBLLE_02363	CDS	726	yjjQ			Putative transcription factor YjjQ
IDDCBLLE_02364	CDS	945	yjjP		COG2966	Inner membrane protein YjjP
IDDCBLLE_02365	CDS	474				hypothetical protein
IDDCBLLE_02366	CDS	540	dnaT_1			Primosomal protein 1
IDDCBLLE_02367	CDS	738	dnaC_2		COG1484	DNA replication protein DnaC
IDDCBLLE_02368	CDS	462				hypothetical protein
IDDCBLLE_02369	CDS	2292	mdoB	2.7.8.20		Phosphoglycerol transferase I
IDDCBLLE_02370	CDS	1011	frlB_2	3.5.-.-	COG2222	Fructosamine deglycase FrlB
